,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1611341.0,666768.0,563388.0,769553.0,297536.0,327015.0,281439.0,82610.0,2797873.0,335475.0,368600.0,484269.0,377770.0,399246.0,617986.0,813659.0,253396.0,11047924.0,비친환경
34,경유,소계,계,1117351.0,560934.0,471687.0,674900.0,274023.0,260200.0,229019.0,63762.0,2398389.0,369319.0,383342.0,524358.0,438661.0,528910.0,668236.0,737292.0,255359.0,9955742.0,비친환경
51,엘피지,소계,계,268770.0,119424.0,114004.0,134911.0,87228.0,69247.0,37928.0,12296.0,412550.0,60608.0,69538.0,86630.0,93978.0,105488.0,127647.0,138211.0,65764.0,2004222.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,17172.0,3624.0,11641.0,3270.0,2660.0,2865.0,1650.0,1017.0,14100.0,2640.0,2617.0,3281.0,2270.0,3893.0,4441.0,4295.0,18793.0,100229.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9438.0,2960.0,2614.0,2759.0,1397.0,1668.0,822.0,163.0,9258.0,750.0,732.0,594.0,1045.0,1043.0,1137.0,1701.0,8.0,38089.0,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,비친환경
170,하이브리드(휘발유+전기),소계,계,92623.0,28613.0,25965.0,41362.0,13104.0,12929.0,10277.0,5607.0,142640.0,13762.0,13961.0,17782.0,14500.0,15160.0,21071.0,27472.0,12947.0,509775.0,친환경
187,하이브리드(경유+전기),소계,계,126.0,124.0,90.0,153.0,10.0,13.0,8.0,2.0,147.0,10.0,104.0,10.0,18.0,15.0,9.0,43.0,20.0,902.0,친환경
204,하이브리드(LPG+전기),소계,계,1906.0,827.0,959.0,782.0,696.0,556.0,528.0,179.0,3979.0,716.0,722.0,774.0,831.0,908.0,1081.0,1092.0,328.0,16864.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,623.0,710.0,9.0,317.0,484.0,230.0,1438.0,19.0,859.0,263.0,108.0,315.0,16.0,15.0,9.0,709.0,1.0,6125.0,친환경
272,기타연료,소계,계,5932.0,15122.0,3523.0,11810.0,3199.0,2993.0,4702.0,767.0,22722.0,3284.0,5252.0,7395.0,4302.0,8478.0,9070.0,7599.0,727.0,116877.0,비친환경
289,총계,소계,계,3125333.0,1399109.0,1193893.0,1639859.0,680363.0,677716.0,567857.0,166449.0,5802596.0,786827.0,844979.0,1125409.0,933400.0,1063156.0,1450719.0,1732075.0,607343.0,23797083.0,비친환경
