,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1625652.0,676048.0,571733.0,787711.0,301730.0,332051.0,285011.0,83686.0,2851236.0,340986.0,375620.0,492744.0,383543.0,405940.0,623903.0,826019.0,256581.0,11220194.0,비친환경
34,경유,소계,계,1113853.0,560737.0,467171.0,675597.0,272826.0,256601.0,227451.0,63367.0,2411874.0,371434.0,382794.0,522256.0,436014.0,531106.0,669553.0,738012.0,252027.0,9952673.0,비친환경
51,엘피지,소계,계,265931.0,119284.0,113846.0,135664.0,88000.0,69523.0,37790.0,12180.0,413578.0,60491.0,69912.0,87225.0,94590.0,105594.0,127671.0,138509.0,63200.0,2002988.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,19411.0,4100.0,12356.0,3741.0,2844.0,3126.0,2110.0,1044.0,15946.0,2952.0,3199.0,3920.0,2745.0,4323.0,4980.0,4805.0,19705.0,111307.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9377.0,2939.0,2579.0,2734.0,1371.0,1655.0,827.0,159.0,9196.0,734.0,736.0,589.0,1039.0,1046.0,1131.0,1679.0,8.0,37799.0,비친환경
153,LNG,소계,계,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,비친환경
170,하이브리드(휘발유+전기),소계,계,98057.0,31062.0,28117.0,46127.0,14220.0,14277.0,11246.0,6149.0,154214.0,14738.0,15063.0,19217.0,15598.0,16583.0,22515.0,29842.0,13746.0,550771.0,친환경
187,하이브리드(경유+전기),소계,계,362.0,326.0,214.0,768.0,36.0,40.0,27.0,10.0,378.0,35.0,137.0,47.0,64.0,44.0,36.0,101.0,39.0,2664.0,친환경
204,하이브리드(LPG+전기),소계,계,1870.0,818.0,956.0,794.0,689.0,541.0,516.0,173.0,3948.0,706.0,719.0,774.0,848.0,898.0,1072.0,1090.0,332.0,16744.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,1095.0,759.0,12.0,355.0,563.0,333.0,1530.0,37.0,1103.0,469.0,122.0,340.0,162.0,21.0,12.0,768.0,1.0,7682.0,친환경
272,기타연료,소계,계,6051.0,15249.0,3665.0,11964.0,3250.0,3119.0,4753.0,791.0,23513.0,3409.0,5465.0,7660.0,4421.0,8657.0,9356.0,7863.0,740.0,119926.0,비친환경
289,총계,소계,계,3141710.0,1411326.0,1200662.0,1665497.0,685555.0,681266.0,571307.0,167623.0,5885065.0,795954.0,853770.0,1134773.0,939033.0,1074212.0,1460261.0,1748690.0,606379.0,24023083.0,비친환경
