,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year,month,Unnamed: 21,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,04,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,04,,비친환경
136,CNG,소계,계,9695.0,3145.0,2677.0,2823.0,1486.0,1711.0,830.0,63.0,9138.0,900.0,725.0,599.0,1097.0,1098.0,1205.0,1833.0,13.0,39038.0,2018,04,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018,04,,비친환경
170,하이브리드(휘발유+전기),소계,계,61953.0,18552.0,17100.0,22471.0,8655.0,8396.0,6738.0,2986.0,88639.0,8919.0,8834.0,11762.0,9410.0,9467.0,13855.0,18483.0,6930.0,323150.0,2018,04,,친환경
187,하이브리드(경유+전기),소계,계,25.0,15.0,21.0,8.0,2.0,5.0,0.0,2.0,24.0,0.0,3.0,2.0,2.0,1.0,1.0,16.0,0.0,127.0,2018,04,,친환경
204,하이브리드(LPG+전기),소계,계,2085.0,916.0,1033.0,875.0,747.0,591.0,563.0,176.0,4128.0,745.0,707.0,792.0,839.0,929.0,1110.0,1141.0,321.0,17698.0,2018,04,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,20.0,0.0,36.0,27.0,69.0,0.0,3.0,0.0,9.0,0.0,10.0,1.0,0.0,275.0,2018,04,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,04,,친환경
255,수소,소계,계,29.0,0.0,1.0,3.0,47.0,1.0,70.0,2.0,5.0,0.0,0.0,27.0,1.0,2.0,0.0,52.0,0.0,240.0,2018,04,,친환경
272,기타연료,소계,계,5370.0,14617.0,2862.0,10761.0,2686.0,2513.0,4372.0,454.0,18762.0,2493.0,4296.0,6189.0,3650.0,7786.0,7925.0,6546.0,610.0,101892.0,2018,04,,비친환경
289,총계,소계,계,3119463.0,1346249.0,1164220.0,1532983.0,653909.0,662962.0,553893.0,137260.0,5460515.0,753084.0,796754.0,1071687.0,899846.0,1006728.0,1402773.0,1679469.0,516779.0,22758574.0,2018,04,,비친환경
17,휘발유,소계,계,1597782.0,640999.0,554060.0,688224.0,287770.0,321058.0,277264.0,68525.0,2599192.0,317940.0,343905.0,459828.0,361803.0,374067.0,601654.0,783777.0,213413.0,10491261.0,2018,05,,비친환경
34,경유,소계,계,1141609.0,545734.0,464157.0,668976.0,265765.0,256668.0,224639.0,55286.0,2330544.0,359558.0,369793.0,506894.0,429160.0,509589.0,647501.0,724479.0,225558.0,9725910.0,2018,05,,비친환경
51,엘피지,소계,계,294251.0,124170.0,120538.0,141861.0,86850.0,71916.0,39649.0,10941.0,424877.0,63409.0,70205.0,87443.0,95374.0,106486.0,130971.0,143202.0,63551.0,2075694.0,2018,05,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,05,,비친환경
