,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1609120.0,664806.0,562290.0,765341.0,296653.0,326012.0,280888.0,82156.0,2782466.0,334004.0,365807.0,482608.0,376497.0,397667.0,617240.0,810545.0,250327.0,11004427.0,비친환경
34,경유,소계,계,1119056.0,563455.0,471196.0,676256.0,273630.0,259658.0,228751.0,63514.0,2396705.0,370424.0,382567.0,524682.0,439673.0,530068.0,670060.0,739943.0,253926.0,9963564.0,비친환경
51,엘피지,소계,계,270098.0,119342.0,114163.0,135119.0,86974.0,69267.0,38019.0,12265.0,411839.0,60535.0,69398.0,86493.0,93688.0,105338.0,127684.0,138002.0,65562.0,2003786.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,16438.0,3270.0,11275.0,2791.0,2489.0,2625.0,1464.0,933.0,12510.0,2459.0,2457.0,2928.0,1920.0,3346.0,4161.0,3822.0,18684.0,93572.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9449.0,2956.0,2618.0,2766.0,1400.0,1673.0,821.0,160.0,9160.0,752.0,736.0,594.0,1048.0,1049.0,1144.0,1696.0,10.0,38032.0,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,비친환경
170,하이브리드(휘발유+전기),소계,계,91267.0,28043.0,25559.0,40373.0,12892.0,12708.0,10075.0,5480.0,140138.0,13519.0,13653.0,17483.0,14267.0,14822.0,20826.0,26571.0,12549.0,500225.0,친환경
187,하이브리드(경유+전기),소계,계,108.0,165.0,119.0,115.0,10.0,11.0,6.0,1.0,122.0,9.0,9.0,7.0,19.0,14.0,6.0,32.0,15.0,768.0,친환경
204,하이브리드(LPG+전기),소계,계,1904.0,827.0,965.0,783.0,699.0,559.0,535.0,181.0,3969.0,718.0,727.0,781.0,828.0,907.0,1083.0,1106.0,328.0,16900.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,599.0,671.0,7.0,289.0,485.0,207.0,1401.0,19.0,641.0,144.0,103.0,302.0,10.0,3.0,9.0,667.0,1.0,5558.0,친환경
272,기타연료,소계,계,5894.0,15100.0,3492.0,11714.0,3184.0,2965.0,4673.0,750.0,22584.0,3242.0,5246.0,7341.0,4252.0,8447.0,9053.0,7558.0,730.0,116225.0,비친환경
289,총계,소계,계,3123984.0,1398638.0,1191697.0,1635589.0,678442.0,675685.0,566679.0,165486.0,5780213.0,785806.0,840706.0,1123220.0,932211.0,1061661.0,1451298.0,1729944.0,602132.0,23743391.0,비친환경
