,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1614843.0,669511.0,565380.0,779858.0,298794.0,328500.0,282607.0,82974.0,2815002.0,336852.0,370456.0,486967.0,379784.0,400482.0,619536.0,817003.0,249610.0,11098159.0,비친환경
34,경유,소계,계,1115743.0,560673.0,471874.0,678149.0,273815.0,259074.0,228049.0,63783.0,2404021.0,369527.0,382374.0,521510.0,435780.0,528633.0,668065.0,737514.0,250780.0,9949364.0,비친환경
51,엘피지,소계,계,267668.0,119520.0,113893.0,137040.0,87527.0,69440.0,37880.0,12246.0,413416.0,60553.0,69713.0,86834.0,94294.0,105551.0,127667.0,138352.0,63207.0,2004801.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,17622.0,3883.0,11878.0,3345.0,2710.0,2962.0,1738.0,1024.0,14546.0,2753.0,2939.0,3560.0,2467.0,4067.0,4682.0,4432.0,19092.0,103700.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9417.0,2950.0,2590.0,2753.0,1397.0,1666.0,824.0,164.0,9275.0,745.0,731.0,587.0,1042.0,1042.0,1134.0,1705.0,8.0,38030.0,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,비친환경
170,하이브리드(휘발유+전기),소계,계,94069.0,29222.0,26535.0,42921.0,13432.0,13336.0,10570.0,5753.0,146198.0,14065.0,14273.0,18223.0,14886.0,15542.0,21540.0,28188.0,12781.0,521534.0,친환경
187,하이브리드(경유+전기),소계,계,196.0,186.0,124.0,370.0,17.0,19.0,10.0,3.0,213.0,19.0,113.0,20.0,40.0,26.0,14.0,59.0,27.0,1456.0,친환경
204,하이브리드(LPG+전기),소계,계,1881.0,821.0,957.0,785.0,692.0,552.0,521.0,177.0,3976.0,710.0,727.0,776.0,839.0,907.0,1079.0,1090.0,332.0,16822.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,1049.0,742.0,9.0,334.0,479.0,249.0,1477.0,20.0,1028.0,331.0,110.0,337.0,95.0,19.0,11.0,743.0,0.0,7033.0,친환경
272,기타연료,소계,계,5984.0,15158.0,3571.0,11868.0,3238.0,3039.0,4721.0,786.0,22936.0,3328.0,5321.0,7484.0,4337.0,8519.0,9149.0,7689.0,732.0,117860.0,비친환경
289,총계,소계,계,3128523.0,1402669.0,1196824.0,1657465.0,682127.0,678837.0,568443.0,166957.0,5830690.0,788883.0,846760.0,1126299.0,933573.0,1064788.0,1452909.0,1736777.0,596569.0,23859093.0,비친환경
