,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1629747.0,679341.0,576705.0,790923.0,302026.0,332485.0,286125.0,84663.0,2869696.0,343588.0,378380.0,495316.0,384794.0,410193.0,625830.0,829953.0,262618.0,11282383.0,비친환경
34,경유,소계,계,1113047.0,561252.0,472508.0,672086.0,273256.0,257089.0,227689.0,63811.0,2418592.0,372953.0,382529.0,523849.0,436681.0,532966.0,670410.0,738784.0,253268.0,9970770.0,비친환경
51,엘피지,소계,계,263747.0,119138.0,113285.0,134156.0,87806.0,69142.0,37615.0,12211.0,412197.0,60342.0,69982.0,87170.0,94512.0,105575.0,127351.0,137531.0,63357.0,1995117.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,20997.0,4320.0,12468.0,4204.0,3046.0,3338.0,2142.0,1076.0,17197.0,3091.0,3319.0,4252.0,2906.0,4576.0,5400.0,5003.0,20699.0,118034.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9359.0,2924.0,2554.0,2709.0,1361.0,1647.0,825.0,158.0,9084.0,717.0,734.0,591.0,1021.0,1034.0,1122.0,1658.0,10.0,37508.0,비친환경
153,LNG,소계,계,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,비친환경
170,하이브리드(휘발유+전기),소계,계,101481.0,32505.0,29330.0,48549.0,14771.0,14944.0,11727.0,6431.0,160897.0,15324.0,15719.0,20102.0,16223.0,17451.0,23299.0,31208.0,14772.0,574733.0,친환경
187,하이브리드(경유+전기),소계,계,491.0,428.0,311.0,1151.0,59.0,54.0,39.0,19.0,537.0,47.0,149.0,69.0,87.0,71.0,53.0,131.0,63.0,3759.0,친환경
204,하이브리드(LPG+전기),소계,계,1854.0,815.0,939.0,768.0,683.0,536.0,512.0,163.0,3919.0,702.0,711.0,765.0,848.0,895.0,1063.0,1079.0,341.0,16593.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,1152.0,798.0,54.0,399.0,614.0,397.0,1628.0,37.0,1310.0,699.0,271.0,406.0,254.0,76.0,13.0,802.0,1.0,8911.0,친환경
272,기타연료,소계,계,6145.0,15277.0,3738.0,12171.0,3359.0,3183.0,4797.0,830.0,24140.0,3524.0,5640.0,7888.0,4501.0,8730.0,9573.0,8032.0,739.0,122267.0,비친환경
289,총계,소계,계,3148071.0,1416802.0,1211905.0,1667158.0,687007.0,682815.0,573145.0,169426.0,5917648.0,800987.0,857437.0,1140409.0,941836.0,1081567.0,1464146.0,1754183.0,615868.0,24130410.0,비친환경
